[INFO] Output base: /tmp/spai_hf_ai_vs_real_200_20260418_215050
[INFO] Log en vivo + guardado en: /tmp/spai_hf_ai_vs_real_200_20260418_215050/run.log
/fhome/aaasidar/miniconda3/lib/python3.13/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.4.1)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
/fhome/aaasidar/miniconda3/lib/python3.13/site-packages/albumentations/__init__.py:13: UserWarning: A new version of Albumentations is available: 2.0.8 (you have 1.4.14). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.
  check_for_updates()
/fhome/aaasidar/miniconda3/lib/python3.13/site-packages/torch/cuda/__init__.py:180: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
=> merge config from /fhome/aaasidar/spai-hf/configs/spai.yaml
Randomized dataset order (seed=42, buffer_size=2000)
Using split 'train' from dataset 'Parveshiiii/AI-vs-Real' (requested: 'train')
Using image column 'image'
Using dataset profile for 'Parveshiiii/AI-vs-Real': {'gt_label_column': 'binary_label', 'label_names': {0: 'ai-generated', 1: 'real'}, 'label_to_model': {0: 1, 1: 0}}
Using label_to_model override: {0: 1, 1: 0}
img=1 | ref=index:0 | score=0.001630 | pred=real | gt=real | ok=1 | ai=0 | real=1 | acc=1.0000 | ips=0.20
img=2 | ref=index:1 | score=0.014122 | pred=real | gt=real | ok=1 | ai=0 | real=2 | acc=1.0000 | ips=0.20
img=3 | ref=index:2 | score=0.000000 | pred=real | gt=real | ok=1 | ai=0 | real=3 | acc=1.0000 | ips=0.20
img=4 | ref=index:3 | score=0.002663 | pred=real | gt=real | ok=1 | ai=0 | real=4 | acc=1.0000 | ips=0.20
img=5 | ref=index:4 | score=0.086348 | pred=real | gt=real | ok=1 | ai=0 | real=5 | acc=1.0000 | ips=0.20
img=6 | ref=index:5 | score=0.000002 | pred=real | gt=real | ok=1 | ai=0 | real=6 | acc=1.0000 | ips=0.20
img=7 | ref=index:6 | score=0.998630 | pred=ai-generated | gt=real | ok=0 | ai=1 | real=6 | acc=0.8571 | ips=0.20
img=8 | ref=index:7 | score=0.997424 | pred=ai-generated | gt=real | ok=0 | ai=2 | real=6 | acc=0.7500 | ips=0.20
img=9 | ref=index:8 | score=0.891623 | pred=ai-generated | gt=real | ok=0 | ai=3 | real=6 | acc=0.6667 | ips=0.20
img=10 | ref=index:9 | score=0.999926 | pred=ai-generated | gt=real | ok=0 | ai=4 | real=6 | acc=0.6000 | ips=0.20
img=11 | ref=index:10 | score=0.021982 | pred=real | gt=real | ok=1 | ai=4 | real=7 | acc=0.6364 | ips=0.20
img=12 | ref=index:11 | score=0.000007 | pred=real | gt=real | ok=1 | ai=4 | real=8 | acc=0.6667 | ips=0.20
img=13 | ref=index:12 | score=0.872619 | pred=ai-generated | gt=real | ok=0 | ai=5 | real=8 | acc=0.6154 | ips=0.20
img=14 | ref=index:13 | score=0.000000 | pred=real | gt=real | ok=1 | ai=5 | real=9 | acc=0.6429 | ips=0.20
img=15 | ref=index:14 | score=0.426775 | pred=ai-generated | gt=real | ok=0 | ai=6 | real=9 | acc=0.6000 | ips=0.20
img=16 | ref=index:15 | score=0.771852 | pred=ai-generated | gt=real | ok=0 | ai=7 | real=9 | acc=0.5625 | ips=0.20
img=17 | ref=index:16 | score=0.988866 | pred=ai-generated | gt=real | ok=0 | ai=8 | real=9 | acc=0.5294 | ips=0.20
img=18 | ref=index:17 | score=0.853064 | pred=ai-generated | gt=real | ok=0 | ai=9 | real=9 | acc=0.5000 | ips=0.20
